"","DC1Only","DC2Only","Both"
"MXI1_ENCFF727RNJ",-0.0100070551861164,-0.20837905590254,0.242365058842063
"SIRT6_ENCFF219XEX",-0.0064717631883475,-0.0184489444943315,0.0256551645404752
"TEAD4_ENCFF885PQR",1.26352195833114,-3.80619388260103,3.3401924407332
"EGR1_ENCFF100KKH",-0.0419300395580782,-1.51551592107229,1.73951078316761
"CREB1_ENCFF978KGB",0.0685414818163785,-6.55506661725161,7.33613210713044
"TBP_ENCFF817TGF",-0.280433871646965,-8.61167095245802,9.9161747856389
"H3K9me3_ENCFF378HMV",-0.0124607685744896,0.0473563091155009,-0.0440078718686807
"H2BK5ac_ENCFF906FRY",-0.0456205443282069,-0.213100582327457,0.27444685123111
"CTCF_ENCFF692RPA",0.339947907148976,-0.988846066672123,0.85899826461295
"SUZ12_ENCFF225AMM",-0.0403193339370566,0.0775059417669945,-0.0570534569594774
"RAD21_ENCFF275AVS",2.7294152205917,-7.77132348543058,6.70744204337881
